created_at,tweets_count_76ers,tweets_count_Blazers,tweets_count_Bucks,tweets_count_Bulls,tweets_count_Cavaliers,tweets_count_Celtics,tweets_count_Clippers,tweets_count_Grizzlies,tweets_count_Hawks,tweets_count_Heat,tweets_count_Hornets,tweets_count_Jazz,tweets_count_Kings,tweets_count_Knicks,tweets_count_Lakers,tweets_count_Magic,tweets_count_Mavericks,tweets_count_Nets,tweets_count_Nuggets,tweets_count_Pacers,tweets_count_Pelicans,tweets_count_Pistons,tweets_count_Raptors,tweets_count_Rockets,tweets_count_Spurs,tweets_count_Suns,tweets_count_Thunder,tweets_count_Timberwolves,tweets_count_Warriors,tweets_count_Wizards
2020-02-03,7,5,12,6,13,11,7,15,10,2,15,8,6,9,3,9,10,10,3,10,11,13,17,6,9,8,4,5,10,30
2020-02-04,14,8,10,5,33,29,41,60,36,50,28,13,31,31,6,27,37,43,11,31,14,30,10,11,34,21,6,25,34,61
2020-02-05,4,20,39,10,20,10,11,20,10,6,28,15,14,4,46,11,8,14,39,10,51,14,14,44,28,13,5,11,11,28
2020-02-06,6,9,13,9,39,26,32,60,46,20,4,36,13,4,6,24,19,40,55,33,11,30,34,5,7,32,29,38,19,12
2020-02-07,37,57,47,15,20,9,13,24,17,21,8,17,13,33,36,20,13,6,18,15,46,17,12,53,31,9,8,35,11,54
2020-02-08,48,43,27,6,13,25,8,28,30,32,17,47,27,12,6,20,20,9,13,40,10,34,44,25,7,48,28,11,13,83
2020-02-09,24,6,19,5,17,26,19,18,18,5,20,8,36,41,34,9,28,34,44,30,27,35,32,9,18,25,30,52,45,34
2020-02-10,35,49,22,14,33,16,38,50,39,35,11,54,46,50,10,10,6,11,11,13,13,10,13,43,4,10,3,16,11,29
2020-02-11,13,7,40,4,15,8,10,8,35,32,37,47,21,4,47,33,32,39,65,35,20,24,39,6,36,20,7,38,34,21
2020-02-12,47,28,12,16,18,29,13,18,16,3,10,17,13,17,5,6,8,12,12,13,54,12,9,46,45,7,17,18,11,54
2020-02-13,7,30,33,15,46,11,9,72,31,23,30,57,15,19,48,35,52,37,46,43,21,30,25,3,2,47,6,31,27,47
2020-02-14,13,10,9,30,17,45,25,22,19,13,16,20,46,15,3,8,22,20,40,6,64,12,8,12,13,14,29,9,11,32
2020-02-15,14,3,18,13,13,10,13,33,25,18,35,19,8,27,9,10,27,20,29,15,14,12,19,7,6,24,21,11,19,39
2020-02-16,12,13,30,10,7,14,11,2,11,51,17,7,31,4,11,23,5,13,10,24,3,2,20,5,3,24,14,3,1,30
2020-02-17,33,10,41,7,6,30,23,6,24,17,6,37,2,4,38,1,20,5,26,21,18,5,25,29,8,24,21,1,3,6
2020-02-18,5,8,6,2,5,6,2,8,8,5,7,0,4,4,6,2,7,4,22,4,6,5,12,10,3,2,3,3,4,6
