,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS.1,AVG.1,PCT.1,GMS.2,AVG.2,PCT.2,Year
107,18,76ers,41,710557,17330,85.3,41,17209,89.7,82,17269,87.4,2017
98,9,Blazers,41,792029,19317,99.4,41,17555,92.2,82,18436,95.8,2017
116,27,Bucks,41,648952,15828,84.6,41,17928,92.8,82,16878,88.8,2017
90,1,Bulls,41,888882,21680,103.6,41,18033,94.0,82,19856,99.0,2017
91,2,Cavaliers,41,843042,20562,100.0,41,19021,98.7,82,19791,99.4,2017
101,12,Celtics,41,760690,18553,99.6,41,18313,94.6,82,18433,97.1,2017
99,10,Clippers,41,782609,19088,100.1,41,17889,94.1,82,18488,97.1,2017
112,23,Grizzlies,41,677314,16519,91.2,41,17655,92.7,82,17087,91.9,2017
115,26,Hawks,41,654306,15958,85.2,41,17816,93.7,82,16887,89.5,2017
96,7,Heat,41,805400,19643,100.2,41,17818,92.4,82,18731,96.3,2017
106,17,Hornets,41,710643,17332,90.9,41,17563,91.3,82,17448,91.1,2017
95,6,Jazz,41,806605,19673,98.8,41,17212,90.5,82,18442,94.7,2017
105,16,Kings,41,721928,17608,100.6,41,17489,91.4,82,17548,95.8,2017
94,5,Knicks,41,810741,19774,99.8,41,17927,94.6,82,18850,97.3,2017
100,11,Lakers,41,776917,18949,99.4,41,18191,95.6,82,18570,97.5,2017
104,15,Magic,41,727875,17753,94.2,41,17333,89.6,82,17543,91.8,2017
93,4,Mavericks,41,811366,19789,103.1,41,17519,91.9,82,18654,97.5,2017
117,28,Nets,41,632608,15429,85.2,41,17755,92.1,82,16592,88.8,2017
119,30,Nuggets,41,605585,14770,77.1,41,17420,91.7,82,16095,84.4,2017
111,22,Pacers,41,684578,16697,91.9,41,17848,92.1,82,17272,92.0,2017
113,24,Pelicans,41,663099,16173,94.1,41,18062,94.6,82,17118,94.4,2017
114,25,Pistons,41,655141,15979,72.4,41,17699,92.6,82,16839,81.8,2017
92,3,Raptors,41,813050,19830,100.2,41,17925,92.8,82,18878,96.5,2017
110,21,Rockets,41,695903,16973,94.1,41,18140,95.3,82,17556,94.7,2017
102,13,Spurs,41,755347,18423,99.2,41,18131,95.4,82,18277,97.2,2017
108,19,Suns,41,708639,17283,93.8,41,17618,92.5,82,17451,93.2,2017
103,14,Thunder,41,746323,18203,100.0,41,18373,96.4,82,18288,98.2,2017
118,29,Timberwolves,41,607203,14809,76.5,41,18113,95.4,82,16461,85.9,2017
97,8,Warriors,41,803436,19596,100.0,41,19015,100.3,82,19305,100.2,2017
109,20,Wizards,41,697107,17002,83.8,41,17949,93.5,82,17476,88.5,2017
62,3,76ers,41,833503,20329,100.0,41,18012,93.6,82,19185,96.9,2018
67,8,Blazers,41,795328,19398,99.8,41,17556,92.7,82,18477,96.3,2018
83,24,Bucks,41,685303,16714,89.3,41,18380,95.2,82,17547,92.3,2018
60,1,Bulls,41,851824,20776,99.3,41,18030,94.4,82,19403,97.0,2018
61,2,Cavaliers,41,843042,20562,100.0,41,19071,99.5,82,19825,99.8,2018
70,11,Celtics,41,744960,18624,100.0,41,18588,96.5,82,18606,98.2,2018
81,22,Clippers,41,697812,17019,89.3,41,17735,93.7,82,17373,91.4,2018
87,28,Grizzlies,41,653863,15947,88.0,41,17348,91.2,82,16648,89.7,2018
89,30,Hawks,41,590769,14409,76.9,41,17854,92.7,82,16088,84.7,2018
65,6,Heat,41,785250,19631,100.2,41,18177,94.5,82,18895,97.3,2018
85,26,Hornets,41,671404,16375,85.8,41,17623,91.6,82,16999,88.7,2018
74,15,Jazz,41,734806,17922,90.0,41,17495,92.5,82,17708,91.2,2018
77,18,Kings,41,649571,17555,100.3,41,17478,91.8,82,17515,95.7,2018
68,9,Knicks,41,792608,19331,97.6,41,18179,94.8,82,18762,96.2,2018
69,10,Lakers,41,776327,18934,99.3,41,18655,98.6,82,18796,99.0,2018
76,17,Magic,41,715728,17893,94.9,41,17651,91.9,82,17770,93.4,2018
64,5,Mavericks,41,811453,19791,103.1,41,17374,91.5,82,18597,97.4,2018
88,29,Nets,41,622278,15556,85.9,41,17687,91.8,82,16622,89.0,2018
79,20,Nuggets,41,702796,17141,89.5,41,17871,94.0,82,17506,91.7,2018
86,27,Pacers,41,658119,16051,88.4,41,17749,91.8,82,16889,90.1,2018
84,25,Pelicans,41,673920,16437,95.6,41,17911,93.9,82,17174,94.7,2018
78,19,Pistons,41,713945,17413,82.9,41,17959,93.7,82,17686,88.1,2018
63,4,Raptors,41,813431,19839,100.2,41,17673,92.0,82,18756,96.2,2018
75,16,Rockets,41,716008,17900,99.2,41,18369,96.7,82,18137,97.9,2018
71,12,Spurs,41,754562,18403,99.0,41,18427,97.1,82,18415,98.1,2018
82,23,Suns,41,674655,16866,91.6,41,17610,92.4,82,17243,92.0,2018
72,13,Thunder,41,746323,18203,100.0,41,18866,99.2,82,18534,99.6,2018
80,21,Timberwolves,41,699308,17056,89.9,41,17850,93.8,82,17453,91.9,2018
66,7,Warriors,41,803436,19596,100.0,41,18884,99.6,82,19240,99.8,2018
73,14,Wizards,41,718946,17973,88.6,41,17682,92.1,82,17826,90.3,2018
30,1,76ers,41,838092,20441,100.6,41,17895,94.3,82,19168,97.5,2019
36,7,Blazers,41,799345,19496,100.3,41,17992,95.4,82,18753,97.9,2019
46,17,Bucks,41,721692,17602,101.5,41,18185,95.1,82,17893,98.1,2019
31,2,Bulls,41,823475,20084,96.0,41,17822,94.1,82,18953,95.1,2019
37,8,Cavaliers,41,793337,19349,99.6,41,17632,92.6,82,18490,96.1,2019
40,11,Celtics,41,763584,18624,100.0,41,18671,97.5,82,18647,98.8,2019
49,20,Clippers,41,710327,17325,90.9,41,17233,91.4,82,17279,91.2,2019
55,26,Grizzlies,41,607564,15578,86.0,41,17579,93.3,82,16604,89.8,2019
56,27,Hawks,41,628440,15327,81.8,41,17786,93.7,82,16557,87.8,2019
34,5,Heat,41,805264,19640,100.2,41,18176,95.5,82,18908,97.9,2019
52,23,Hornets,41,676570,16501,86.5,41,17648,92.8,82,17074,89.7,2019
43,14,Jazz,41,750546,18306,100.0,41,17517,93.0,82,17911,96.4,2019
50,21,Kings,41,700975,17096,97.7,41,17199,91.1,82,17148,94.3,2019
38,9,Knicks,41,779087,19002,95.9,41,17566,92.6,82,18284,94.3,2019
39,10,Lakers,41,778877,18997,99.7,41,18862,100.3,82,18929,100.0,2019
47,18,Magic,41,720024,17561,93.2,41,17659,92.4,82,17610,92.8,2019
32,3,Mavericks,41,820569,20013,104.2,41,18073,95.9,82,19043,100.1,2019
59,30,Nets,41,612597,14941,84.3,41,18085,94.7,82,16513,89.7,2019
41,12,Nuggets,41,756457,18450,96.3,41,17474,92.8,82,17962,94.6,2019
51,22,Pacers,41,689310,16812,92.6,41,17957,93.7,82,17377,93.1,2019
54,25,Pelicans,41,656183,16004,93.1,41,17667,93.4,82,16835,93.3,2019
53,24,Pistons,41,675963,16486,78.5,41,17819,94.1,82,17153,85.9,2019
33,4,Raptors,41,812822,19824,100.1,41,18239,95.7,82,19032,98.0,2019
45,16,Rockets,41,740392,18058,100.1,41,17921,95.0,82,17989,97.5,2019
42,13,Spurs,41,750616,18307,98.5,41,17381,92.3,82,17844,95.4,2019
58,29,Suns,41,627023,15293,83.0,41,17982,95.3,82,16638,89.2,2019
44,15,Thunder,41,746323,18203,100.0,41,17866,94.7,82,18034,97.3,2019
57,28,Timberwolves,41,627543,15305,80.7,41,17641,93.7,82,16473,87.1,2019
35,6,Warriors,41,803436,19596,100.0,41,18790,99.7,82,19193,99.8,2019
48,19,Wizards,41,716996,17487,86.2,41,17509,91.8,82,17498,89.0,2019
0,1,76ers,31,639491,20628,102.4,34,17706,94.5,65,19122,98.5,2020
4,5,Blazers,32,608634,19633,101.0,34,17941,96.6,66,18748,98.8,2020
17,18,Bucks,31,549036,17710,102.1,34,17892,94.9,65,17805,98.2,2020
10,11,Bulls,34,639352,18804,89.9,31,17767,94.3,65,18310,91.9,2020
16,17,Cavaliers,36,623576,17816,91.7,29,18254,94.9,65,18014,93.1,2020
6,7,Celtics,32,610864,19089,102.5,32,18409,97.7,64,18749,100.1,2020
7,8,Clippers,32,610176,19068,100.0,32,17855,96.2,64,18461,98.1,2020
25,26,Grizzlies,33,523297,15857,89.1,32,17508,93.3,65,16670,91.3,2020
24,25,Hawks,34,545453,16042,95.0,33,17786,92.9,67,16901,93.9,2020
3,4,Heat,32,629771,19680,100.4,33,18127,96.8,65,18891,98.6,2020
28,29,Hornets,31,478591,15438,80.9,34,17564,92.4,65,16550,86.9,2020
12,13,Jazz,31,567486,18306,100.0,33,17261,92.2,64,17767,95.9,2020
19,20,Kings,31,520663,16795,95.5,33,17739,94.3,64,17282,94.9,2020
9,10,Knicks,33,620789,18811,95.0,33,17767,94.1,66,18289,94.5,2020
8,9,Lakers,31,588907,18997,99.6,32,18877,101.9,63,18936,100.8,2020
18,19,Magic,31,529870,17092,90.7,34,17243,92.2,65,17171,91.5,2020
1,2,Mavericks,34,682096,20061,104.5,33,18249,97.8,67,19169,101.2,2020
23,24,Nets,32,524907,16403,92.5,32,17910,93.9,64,17157,93.2,2020
5,6,Nuggets,33,633153,19186,98.3,32,17163,92.8,65,18190,95.7,2020
21,22,Pacers,32,529002,16531,92.2,33,17297,91.8,65,16914,92.0,2020
22,23,Pelicans,32,528172,16505,97.9,32,18234,96.8,64,17369,97.3,2020
27,28,Pistons,33,509463,15438,75.9,33,17641,93.7,66,16539,84.5,2020
2,3,Raptors,32,633456,19795,100.0,32,17789,94.9,64,18792,97.5,2020
14,15,Rockets,32,578458,18076,100.1,32,18072,96.9,64,18074,98.5,2020
11,12,Spurs,30,550515,18350,100.0,33,17588,93.7,63,17951,96.7,2020
26,27,Suns,35,550633,15732,87.1,30,17660,94.7,65,16622,90.7,2020
13,14,Thunder,33,600699,18203,100.0,31,17855,95.6,64,18034,97.8,2020
29,30,Timberwolves,32,482112,15066,79.4,32,17463,93.4,64,16264,86.4,2020
15,16,Warriors,34,614176,18064,100.0,31,17454,93.6,65,17773,96.9,2020
20,21,Wizards,32,532702,16646,81.8,32,17587,92.3,64,17117,86.9,2020
